,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,12:09,Bills,Stephen Hauschka 51 yard field goal,3,0
1,1.0,4:34,Bills,Stephen Hauschka 34 yard field goal,6,0
2,2.0,13:16,Bills,John Brown 40 yard pass from Josh Allen (Stephen Hauschka kick),13,0
3,2.0,7:46,Bills,Stephen Hauschka 21 yard field goal,16,0
4,2.0,3:43,Dolphins,Kalen Ballage 3 yard rush (Jason Sanders kick),16,7
5,2.0,1:30,Bills,Dawson Knox 23 yard pass from Josh Allen (Stephen Hauschka kick),23,7
6,2.0,1:23,Dolphins,Jakeem Grant 101 yard kickoff return (Jason Sanders kick),23,14
7,3.0,7:04,Bills,Josh Allen 8 yard rush (Stephen Hauschka kick),30,14
8,4.0,14:39,Dolphins,Jakeem Grant 7 yard rush (pass failed),30,20
9,4.0,10:43,Bills,John Brown 9 yard pass from Josh Allen (Stephen Hauschka kick),37,20
