,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Leroy Kelly 9 yard rush (Don Cockroft kick),7,0
1,2.0,Browns,Don Cockroft 15 yard field goal,10,0
2,2.0,Bengals,Jess Phillips 13 yard pass from Virgil Carter (Horst Muhlmann kick),10,7
3,3.0,Bengals,Paul Robinson 1 yard rush (Horst Muhlmann kick),10,14
