,Quarter,Tm,Detail,NOR,HOU
0,1.0,Saints,Danny Abramowicz 63 yard pass from Archie Manning (Charlie Durkee kick),7,0
1,1.0,Oilers,Mark Moseley 22 yard field goal,7,3
2,4.0,Saints,Charlie Durkee 14 yard field goal,10,3
3,4.0,Oilers,Charlie Joiner 70 yard pass from Charley Johnson (Mark Moseley kick),10,10
4,4.0,Oilers,Mark Moseley 44 yard field goal,10,13
5,4.0,Saints,Charlie Durkee 37 yard field goal,13,13
