,Quarter,Tm,Detail,NYY,PRV
0,3.0,Steam Roller,Ed Lynch unknown yard pass from Wildcat Wilson (Gus Sonnenberg kick),0,7
1,4.0,Steam Roller,Jimmy Conzelman unknown yard rush (Gus Sonnenberg kick),0,14
2,4.0,Yankees,Eddie Tryon 45 yard pass from Verne Lewellen (Larry Marks kick),7,14
