,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Jim Bakken 32 yard field goal,0,3
1,1.0,Cowboys,Efren Herrera 29 yard field goal,3,3
2,1.0,Cardinals,Terry Metcalf 62 yard rush (Jim Bakken kick),3,10
3,2.0,Cowboys,Tony Dorsett 77 yard rush (Efren Herrera kick),10,10
4,2.0,Cardinals,Mel Gray 60 yard pass from Jim Hart (Jim Bakken kick),10,17
5,2.0,Cowboys,Efren Herrera 40 yard field goal,13,17
6,3.0,Cowboys,Efren Herrera 44 yard field goal,16,17
7,3.0,Cardinals,Charles Davis 35 yard defensive fumble return (Jim Bakken kick),16,24
8,4.0,Cowboys,Tony Dorsett 1 yard rush (Efren Herrera kick),23,24
9,4.0,Cowboys,Golden Richards 17 yard pass from Roger Staubach (Efren Herrera kick),30,24
