,Quarter,Time,Tm,Detail,TEN,MIA
0,1.0,1:49,Titans,Rob Bironas 24 yard field goal,3,0
1,2.0,7:31,Dolphins,Olindo Mare 25 yard field goal,3,3
2,2.0,2:48,Dolphins,Chris Chambers 11 yard pass from Gus Frerotte (Olindo Mare kick),3,10
3,2.0,0:27,Dolphins,Chris Chambers 7 yard pass from Gus Frerotte (Olindo Mare kick),3,17
4,4.0,12:20,Titans,Drew Bennett 55 yard pass from Billy Volek (Rob Bironas kick),10,17
5,4.0,1:48,Dolphins,Ricky Williams 19 yard rush (Olindo Mare kick),10,24
