,Quarter,Tm,Detail,WAS,NWE
0,1.0,Redskins,Mark Moseley 26 yard field goal,3,0
1,3.0,Patriots,Stanley Morgan 33 yard pass from Steve Grogan (John Smith kick),3,7
2,3.0,Redskins,Mike Thomas 15 yard pass from Joe Theismann,9,7
3,4.0,Patriots,Harold Jackson 45 yard pass from Steve Grogan (John Smith kick),9,14
4,4.0,Redskins,Brad Dusek 31 yard defensive fumble return (Mark Moseley kick),16,14
