,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),7,0
1,2.0,Cardinals,Pat Tilley 15 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,Cowboys,James Jones 8 yard pass from Gary Hogeboom (Rafael Septien kick),14,7
3,2.0,Cowboys,Rafael Septien 35 yard field goal,17,7
4,3.0,Cardinals,Randy Love 1 yard pass from Neil Lomax (Neil O'Donoghue kick),17,14
5,3.0,Cardinals,Neil O'Donoghue 30 yard field goal,17,17
6,4.0,Cowboys,Ron Springs 26 yard pass from Gary Hogeboom (Rafael Septien kick),24,17
