,Quarter,Time,Tm,Detail,ARI,CIN
0,1.0,10:46,Bengals,Tony McGee 2 yard pass from Scott Mitchell (Neil Rackers kick),0,7
1,2.0,0:46,Bengals,Corey Dillon 1 yard rush (Neil Rackers kick),0,14
2,3.0,11:34,Bengals,Brandon Bennett 7 yard rush (Neil Rackers kick),0,21
3,3.0,4:08,Cardinals,David Boston 38 yard pass from Jake Plummer (Cary Blanchard kick),7,21
4,4.0,13:45,Cardinals,David Boston 15 yard pass from Jake Plummer (Cary Blanchard kick failed),13,21
5,4.0,1:02,Bengals,Neil Rackers 32 yard field goal,13,24
