,Quarter,Time,Tm,Detail,KAN,DET
0,1.0,2:03,Lions,T.J. Duckett 11 yard rush (Jason Hanson kick),0,7
1,1.0,0:31,Lions,"Safety,",0,9
2,2.0,10:20,Lions,Jason Hanson 46 yard field goal,0,12
3,2.0,9:00,Lions,Paris Lenon 61 yard interception return (Jason Hanson kick),0,19
4,2.0,3:33,Chiefs,Jackie Battle 3 yard rush (John Carney kick),7,19
5,2.0,0:23,Chiefs,Jared Allen 1 yard pass from Damon Huard (John Carney kick),14,19
6,3.0,8:35,Lions,Jason Hanson 20 yard field goal,14,22
7,4.0,13:28,Chiefs,Dwayne Bowe 34 yard pass from Damon Huard (pass failed),20,22
8,4.0,0:43,Lions,Jason Hanson 47 yard field goal,20,25
