,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Bobby Thomason 2 yard rush (Bobby Walston kick),0,7
1,2.0,Cardinals,Woodley Lewis 42 yard pass from Lamar McHan (Pat Summerall kick),7,7
2,2.0,Cardinals,Pat Summerall 34 yard field goal,10,7
3,3.0,Eagles,Tommy McDonald 7 yard pass from Bobby Thomason (Bobby Walston kick),10,14
4,3.0,Eagles,Bobby Walston 19 yard field goal,10,17
5,3.0,Cardinals,Woodley Lewis 53 yard pass from Lamar McHan (Pat Summerall kick),17,17
6,4.0,Eagles,Bobby Walston 11 yard field goal,17,20
7,4.0,Cardinals,Johnny Olszewski 1 yard rush (Pat Summerall kick),24,20
8,4.0,Eagles,Billy Ray Barnes 67 yard pass from Bobby Thomason (Bobby Walston kick),24,27
9,4.0,Cardinals,Woodley Lewis 34 yard pass from Lamar McHan (Pat Summerall kick),31,27
