,Quarter,Time,Tm,Detail,KAN,CAR
0,1.0,,Chiefs,Kimble Anders 55 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,0
1,2.0,,Chiefs,Andre Rison 18 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,0
2,2.0,,Panthers,Fred Lane 8 yard rush (John Kasay kick),14,7
3,3.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),21,7
4,4.0,,Chiefs,Tony Richardson 3 yard pass from Elvis Grbac (Pete Stoyanovich kick),28,7
5,4.0,,Chiefs,Mark McMillian 62 yard interception return (Pete Stoyanovich kick),35,7
6,4.0,,Panthers,Wesley Walls 19 yard pass from Kerry Collins (John Kasay kick),35,14
