,Quarter,Tm,Detail,DAL,DET
0,1.0,Lions,Eddie Murray 44 yard field goal,0,3
1,2.0,Cowboys,Alfredo Roberts 1 yard pass from Troy Aikman (Ken Willis kick),7,3
2,2.0,Lions,William White 55 yard blocked field goal return (Eddie Murray kick),7,10
3,2.0,Cowboys,Ken Willis 35 yard field goal,10,10
4,3.0,Lions,Willie Green 26 yard pass from Erik Kramer (Eddie Murray kick),10,17
5,3.0,Lions,Eddie Murray 32 yard field goal,10,20
6,4.0,Lions,Barry Sanders 10 yard pass from Erik Kramer (Eddie Murray kick),10,27
7,4.0,Lions,Ray Crockett 96 yard interception return (Eddie Murray kick),10,34
