,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Donny Anderson 1 yard rush (Jim Bakken kick),0,7
1,2.0,Redskins,Charley Taylor 23 yard pass from Billy Kilmer (Curt Knight kick),7,7
2,3.0,Redskins,Curt Knight 28 yard field goal,10,7
3,3.0,Cardinals,Donny Anderson 1 yard rush (Jim Bakken kick),10,14
4,3.0,Cardinals,Jim Bakken 23 yard field goal,10,17
5,4.0,Cardinals,Donny Anderson 12 yard pass from Jim Hart (Jim Bakken kick),10,24
6,4.0,Redskins,Charlie Harraway 10 yard pass from Sonny Jurgensen (Curt Knight kick),17,24
7,4.0,Cardinals,Don Shy 97 yard kickoff return (Jim Bakken kick),17,31
8,4.0,Redskins,Herb Mul-Key 97 yard kickoff return (Curt Knight kick),24,31
9,4.0,Cardinals,Jim Bakken 28 yard field goal,24,34
10,4.0,Redskins,Curt Knight 37 yard field goal,27,34
