,Quarter,Time,Tm,Detail,CIN,DET
0,1,,Bengals,Darnay Scott 70 yard pass from Neil O'Donnell (Doug Pelfrey kick),7,0
1,1,,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),7,7
2,2,,Bengals,Darnay Scott 36 yard pass from Neil O'Donnell (Doug Pelfrey kick),14,7
3,2,,Lions,Barry Sanders 2 yard rush (Jason Hanson kick),14,14
4,3,,Lions,Barry Sanders 67 yard rush (Jason Hanson kick),14,21
5,3,,Bengals,Corey Dillon 18 yard rush (Doug Pelfrey kick),21,21
6,4,,Bengals,Damon Gibson 65 yard punt return (Doug Pelfrey kick),28,21
7,4,1:56,Lions,Barry Sanders 5 yard rush (Jason Hanson kick),28,28
8,OT,1:56,Bengals,Corey Sawyer 53 yard interception return,34,28
