,Quarter,Time,Tm,Detail,JAX,NYJ
0,1.0,5:20,Jets,Doug Brien 36 yard field goal,0,3
1,2.0,3:38,Jaguars,Seth Marler 23 yard field goal,3,3
2,4.0,12:08,Jets,Doug Brien 35 yard field goal,3,6
3,4.0,4:24,Jaguars,Chris Fuamatu-Ma'afala 1 yard rush (Seth Marler kick),10,6
4,4.0,0:26,Jets,Santana Moss 3 yard pass from Chad Pennington (Doug Brien kick),10,13
