,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,Billy Gambrell 20 yard pass from Bill Munson (Wayne Walker kick),0,7
1,1.0,Saints,Charlie Durkee 31 yard field goal,3,7
2,2.0,Saints,Danny Abramowicz 9 yard pass from Billy Kilmer (Charlie Durkee kick),10,7
3,2.0,Lions,Wayne Walker 43 yard field goal,10,10
4,3.0,Lions,Charlie Sanders 13 yard pass from Bill Munson (Wayne Walker kick),10,17
5,3.0,Saints,Don McCall 2 yard rush (Charlie Durkee kick),17,17
6,4.0,Saints,Charlie Durkee 31 yard field goal,20,17
7,4.0,Lions,Wayne Walker 40 yard field goal,20,20
