,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Bobby Walston 23 yard field goal,3,0
1,1.0,Packers,Breezy Reid 21 yard pass from Babe Parilli,3,6
2,4.0,Eagles,Russ Craft 32 yard interception return (Bobby Walston kick),10,6
3,4.0,Packers,John Martinkovic 5 yard blocked punt return,10,12
