,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Dan Miller 23 yard field goal,0,3
1,2.0,Packers,Jan Stenerud 40 yard field goal,3,3
2,2.0,Packers,John Thompson 1 yard pass from Lynn Dickey (Jan Stenerud kick),10,3
3,3.0,Colts,Dan Miller 40 yard field goal,10,6
4,3.0,Packers,Jan Stenerud 25 yard field goal,13,6
5,4.0,Packers,Eddie Lee Ivery 1 yard rush (Jan Stenerud kick),20,6
6,4.0,Colts,Matt Bouza 12 yard pass from Mike Pagel (Dan Miller kick),20,13
7,4.0,Colts,Randy McMillan 1 yard rush (Dan Miller kick),20,20
