,Quarter,Tm,Detail,PHI,BOS
0,1.0,Eagles,Jack Ferrante 14 yard pass from Tommy Thompson (Cliff Patton kick),7,0
1,1.0,Yanks,Frank Muehlheuser 35 yard rush (Nick Scollard kick),7,7
2,1.0,Yanks,Nick Scollard 35 yard field goal,7,10
3,2.0,Yanks,Frank Seno 68 yard pass from Phil Slosburg (Nick Scollard kick),7,17
4,2.0,Yanks,Bill Chipley 38 yard interception return (Nick Scollard kick),7,24
5,2.0,Eagles,Joe Muha 20 yard pass from Tommy Thompson (Cliff Patton kick),14,24
6,2.0,Yanks,Joe Golding 89 yard interception return (Nick Scollard kick),14,31
7,4.0,Yanks,Rudy Romboli 2 yard rush,14,37
