,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Ahmad Rashad 76 yard pass from Tommy Kramer (Rick Danmeier kick),7,0
1,1.0,Vikings,Tom Hannon 41 yard interception return (Rick Danmeier kick),14,0
2,2.0,Vikings,Ted Brown 55 yard rush (Rick Danmeier kick),21,0
3,3.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),28,0
4,4.0,Bears,Vince Evans 1 yard rush (Bob Thomas kick),28,7
5,4.0,Bears,Rickey Watts 89 yard pass from Vince Evans (Bob Thomas kick),28,14
6,4.0,Vikings,Robert Miller 27 yard rush,34,14
