,Quarter,Tm,Detail,TAM,CHI
0,1.0,Buccaneers,Donald Igwebuike 26 yard field goal,3,0
1,1.0,Buccaneers,Reuben Davis 13 yard interception return (Donald Igwebuike kick),10,0
2,2.0,Bears,Kevin Butler 40 yard field goal,10,3
3,3.0,Buccaneers,Donald Igwebuike 22 yard field goal,13,3
4,3.0,Bears,Neal Anderson 59 yard rush (Kevin Butler kick),13,10
5,4.0,Buccaneers,Lars Tate 15 yard rush (Donald Igwebuike kick),20,10
6,4.0,Buccaneers,Donald Igwebuike 29 yard field goal,23,10
7,4.0,Bears,Ron Morris 58 yard pass from Mike Tomczak (Kevin Butler kick),23,17
8,4.0,Buccaneers,Mark Carrier 78 yard pass from Vinny Testaverde,29,17
9,4.0,Bears,Wendell Davis 26 yard pass from Mike Tomczak (Kevin Butler kick),29,24
10,4.0,Bears,Wendell Davis 52 yard pass from Mike Tomczak (Kevin Butler kick),29,31
11,4.0,Buccaneers,Donald Igwebuike 28 yard field goal,32,31
