,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,,Saints,Torrance Small 9 yard pass from Jim Everett (Doug Brien kick),0,7
1,1.0,,Panthers,Winslow Oliver 84 yard punt return (John Kasay kick),7,7
2,2.0,,Saints,Haywood Jeffires 27 yard pass from Jim Everett (Doug Brien kick),7,14
3,2.0,,Panthers,John Kasay 51 yard field goal,10,14
4,2.0,,Panthers,John Kasay 22 yard field goal,13,14
5,3.0,,Panthers,John Kasay 29 yard field goal,16,14
6,3.0,,Saints,Doug Brien 48 yard field goal,16,17
7,4.0,3:25,Panthers,John Kasay 51 yard field goal,19,17
8,4.0,3:25,Saints,Doug Brien 43 yard field goal,19,20
9,4.0,3:25,Panthers,John Kasay 27 yard field goal,22,20
