,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Charlie Smith 4 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,2.0,Eagles,Wilbert Montgomery 9 yard rush (Tony Franklin kick),0,14
2,2.0,Eagles,Hubie Oliver 13 yard rush (Tony Franklin kick),0,21
3,2.0,Eagles,Harold Carmichael 6 yard pass from Ron Jaworski (Tony Franklin kick),0,28
4,3.0,Eagles,Billy Campfield 29 yard pass from Ron Jaworski (Tony Franklin kick),0,35
5,3.0,Eagles,Tony Franklin 44 yard field goal,0,38
