,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Gordon Jones 33 yard pass from Doug Williams (Garo Yepremian kick),0,7
1,1.0,Buccaneers,Garo Yepremian 27 yard field goal,0,10
2,2.0,Bears,Vince Evans 6 yard rush (Bob Thomas kick),7,10
3,3.0,Bears,Vince Evans 1 yard rush (Bob Thomas kick),14,10
4,3.0,Buccaneers,Garo Yepremian 26 yard field goal,14,13
