,Quarter,Tm,Detail,STL,CHI
0,1.0,Cardinals,Sonny Randle 37 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Bears,Jon Arnett 11 yard rush (Roger LeClerc kick),7,7
2,1.0,Bears,Roger LeClerc 16 yard field goal,7,10
3,2.0,Cardinals,Jim Bakken 31 yard field goal,10,10
4,2.0,Cardinals,Jim Bakken 40 yard field goal,13,10
5,3.0,Bears,Rudy Bukich 11 yard rush (Roger LeClerc kick),13,17
6,4.0,Bears,Gale Sayers 7 yard rush (Roger LeClerc kick),13,24
7,4.0,Bears,Dick Gordon 33 yard pass from Rudy Bukich (Roger LeClerc kick),13,31
8,4.0,Bears,Roger LeClerc 25 yard field goal,13,34
