,Quarter,Time,Tm,Detail,SEA,BUF
0,1.0,2:14,Seahawks,Rian Lindell 40 yard field goal,3,0
1,2.0,9:10,Seahawks,Koren Robinson 7 yard pass from Matt Hasselbeck (Rian Lindell kick),10,0
2,2.0,7:40,Bills,Peerless Price 16 yard pass from Alex Van Pelt (Jake Arians kick),10,7
3,2.0,0:19,Bills,Jake Arians 25 yard field goal,10,10
4,3.0,10:41,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),17,10
5,3.0,4:52,Bills,Jake Arians 26 yard field goal,17,13
6,4.0,5:22,Seahawks,Rian Lindell 38 yard field goal,20,13
7,4.0,3:12,Seahawks,Rian Lindell 51 yard field goal,23,13
8,4.0,1:23,Bills,Jay Riemersma 6 yard pass from Alex Van Pelt (Jake Arians kick),23,20
