,Quarter,Tm,Detail,SDG,NWE
0,1.0,Patriots,Harold Jackson 30 yard pass from Steve Grogan (Nick Lowery kick),0,7
1,2.0,Chargers,Pat Curran 3 yard pass from Dan Fouts,6,7
2,2.0,Chargers,John Jefferson 21 yard pass from Dan Fouts (Rolf Benirschke kick),13,7
3,3.0,Chargers,John Jefferson 40 yard pass from Dan Fouts (Rolf Benirschke kick),20,7
4,3.0,Patriots,Harold Jackson 14 yard pass from Steve Grogan (Nick Lowery kick),20,14
5,4.0,Patriots,Russ Francis 6 yard pass from Steve Grogan (Nick Lowery kick),20,21
6,4.0,Chargers,Rolf Benirschke 41 yard field goal,23,21
7,4.0,Patriots,Steve Grogan 4 yard rush (Nick Lowery kick),23,28
