,Quarter,Time,Tm,Detail,KAN,BAL
0,2.0,12:01,Chiefs,Tony Gonzalez 11 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,0
1,3.0,5:10,Chiefs,James Hasty 56 yard interception return (Pete Stoyanovich kick),14,0
2,4.0,12:37,Chiefs,Tony Gonzalez 22 yard pass from Elvis Grbac (Pete Stoyanovich kick),21,0
3,4.0,10:35,Chiefs,Reggie Tongue 38 yard interception return (Pete Stoyanovich kick),28,0
4,4.0,4:05,Ravens,Errict Rhett 2 yard rush (Charles Evans run),28,8
5,4.0,2:30,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),35,8
