,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Cliff Branch 5 yard pass from Mike Rae (Errol Mann kick),0,7
1,2.0,Raiders,Dave Casper 6 yard pass from Mike Rae (Errol Mann kick),0,14
2,2.0,Raiders,Errol Mann 42 yard field goal,0,17
3,3.0,Raiders,Morris Bradshaw 25 yard pass from Mike Rae (Errol Mann kick),0,24
