,Quarter,Time,Tm,Detail,NYG,DAL
0,2.0,5:20,Cowboys,Alvin Harper 22 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,2.0,5:20,Giants,David Treadwell 23 yard field goal,3,7
2,2.0,5:20,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,14
3,3.0,5:20,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,21
4,3.0,5:20,Cowboys,Troy Aikman 3 yard rush (Chris Boniol kick),3,28
5,3.0,5:20,Cowboys,Daryl Johnston 9 yard rush (Chris Boniol kick),3,35
6,4.0,5:20,Cowboys,Chris Boniol 45 yard field goal,3,38
7,4.0,5:20,Giants,Howard Cross 9 yard pass from Kent Graham (David Treadwell kick),10,38
