,Quarter,Tm,Detail,RAI,KAN
0,1.0,Raiders,Frank Hawkins 15 yard pass from Marc Wilson (Chris Bahr kick),7,0
1,2.0,Chiefs,Nick Lowery 54 yard field goal,7,3
2,2.0,Chiefs,Nick Lowery 48 yard field goal,7,6
3,3.0,Chiefs,Theotis Brown 1 yard rush (Nick Lowery kick),7,13
4,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),14,13
5,4.0,Chiefs,Ken Thomas 2 yard pass from Bill Kenney (Nick Lowery kick),14,20
6,4.0,Raiders,Dokie Williams 19 yard pass from Jim Plunkett (Chris Bahr kick),21,20
7,4.0,Raiders,Rod Martin 40 yard interception return (Chris Bahr kick),28,20
