,Quarter,Time,Tm,Detail,SEA,NYJ
0,1.0,,Jets,Keith Byars 3 yard pass from Vinny Testaverde (John Hall kick),0,7
1,1.0,,Seahawks,Joey Galloway 70 yard pass from Jon Kitna (Todd Peterson kick),7,7
2,1.0,,Seahawks,Joey Galloway 57 yard pass from Jon Kitna (Todd Peterson kick),14,7
3,2.0,,Jets,John Hall 20 yard field goal,14,10
4,2.0,,Seahawks,Ricky Watters 39 yard rush (Todd Peterson kick),21,10
5,2.0,0:01,Jets,John Hall 20 yard field goal,21,13
6,3.0,0:01,Seahawks,Anthony Simmons 36 yard interception return (Todd Peterson kick),28,13
7,3.0,0:01,Jets,Curtis Martin 1 yard rush (pass failed),28,19
8,3.0,0:01,Seahawks,Todd Peterson 50 yard field goal,31,19
9,4.0,0:01,Jets,Keyshawn Johnson 16 yard pass from Vinny Testaverde (John Hall kick),31,26
10,4.0,0:27,Jets,Vinny Testaverde 5 yard rush (run failed),31,32
