,Quarter,Time,Tm,Detail,DEN,NWE
0,1.0,,Broncos,Aaron Craver 1 yard rush (Jason Elam kick),7,0
1,1.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),14,0
2,1.0,,Patriots,Matt Bahr 51 yard field goal,14,3
3,2.0,,Broncos,Jason Elam 37 yard field goal,17,3
4,2.0,,Broncos,Jason Elam 31 yard field goal,20,3
5,2.0,,Broncos,Jason Elam 51 yard field goal,23,3
6,3.0,,Broncos,Anthony Miller 60 yard pass from John Elway (Jason Elam kick),30,3
7,3.0,,Broncos,Shannon Sharpe 1 yard pass from John Elway (Jason Elam kick),37,3
