,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,David Ray 32 yard field goal,3,0
1,1.0,Rams,Tony Baker 2 yard rush (David Ray kick),10,0
2,1.0,Falcons,Nick Mike-Mayer 28 yard field goal,10,3
3,2.0,Falcons,Nick Mike-Mayer 30 yard field goal,10,6
4,2.0,Falcons,Nick Mike-Mayer 12 yard field goal,10,9
5,4.0,Rams,David Ray 42 yard field goal,13,9
6,4.0,Falcons,Nick Mike-Mayer 26 yard field goal,13,12
7,4.0,Falcons,Nick Mike-Mayer 16 yard field goal,13,15
