,Quarter,Tm,Detail,MIA,TAM
0,1.0,Dolphins,Garo Yepremian 28 yard field goal,3,0
1,1.0,Buccaneers,Morris Owens 18 yard pass from Parnell Dickinson (Dave Green kick),3,7
2,2.0,Dolphins,Benny Malone 6 yard rush (Garo Yepremian kick),10,7
3,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),17,7
4,3.0,Dolphins,Garo Yepremian 24 yard field goal,20,7
5,3.0,Buccaneers,Morris Owens 20 yard pass from Steve Spurrier,20,13
6,4.0,Buccaneers,Morris Owens 7 yard pass from Steve Spurrier (Dave Green kick),20,20
7,4.0,Dolphins,Garo Yepremian 29 yard field goal,23,20
