,Quarter,Time,Tm,Detail,NYG,ARI
0,2.0,,Cardinals,Greg Davis 44 yard field goal,0,3
1,2.0,,Cardinals,Greg Davis 28 yard field goal,0,6
2,2.0,,Giants,Brad Daluiso 51 yard field goal,3,6
3,3.0,,Giants,Mike Sherrard 12 yard pass from Dave Brown (Brad Daluiso kick),10,6
