,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,9:52,Buccaneers,Ryan Succop 39 yard field goal,3,0
1,1.0,0:59,Buccaneers,Mike Evans 2 yard pass from Tom Brady (Ryan Succop kick),10,0
2,2.0,7:08,Buccaneers,Ryan Succop 35 yard field goal,13,0
3,2.0,1:52,Bears,David Montgomery 3 yard rush (Cairo Santos kick),13,7
4,2.0,0:41,Bears,Jimmy Graham 12 yard pass from Nick Foles (Cairo Santos kick),13,14
5,3.0,9:09,Buccaneers,Ryan Succop 46 yard field goal,16,14
6,4.0,10:38,Bears,Cairo Santos 47 yard field goal,16,17
7,4.0,4:52,Buccaneers,Ryan Succop 25 yard field goal,19,17
8,4.0,1:17,Bears,Cairo Santos 38 yard field goal,19,20
