,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,12:54,Bears,Thomas Jones 2 yard rush (Paul Edinger kick),0,7
1,1.0,3:22,Packers,Bubba Franks 17 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,13:16,Packers,William Henderson 38 yard pass from Brett Favre (Ryan Longwell kick),14,7
3,2.0,11:52,Packers,Darren Sharper 43 yard interception return (Ryan Longwell kick),21,7
4,2.0,6:14,Packers,Javon Walker 25 yard pass from Craig Nall (Ryan Longwell kick),28,7
5,3.0,5:48,Bears,Thomas Jones 1 yard rush (Paul Edinger kick),28,14
6,3.0,0:41,Packers,Ryan Longwell 20 yard field goal,31,14
