,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,4:46,Packers,Ryan Longwell 37 yard field goal,0,3
1,1.0,2:16,Bears,Glyn Milburn 49 yard rush (Chris Boniol kick),7,3
2,2.0,0:30,Packers,Tyrone Davis 7 yard pass from Brett Favre (Ryan Longwell kick),7,10
3,3.0,0:29,Bears,Bobby Engram 6 yard pass from Jim Miller (Chris Boniol kick),14,10
4,4.0,11:06,Packers,Ryan Longwell 26 yard field goal,14,13
