,Quarter,Tm,Detail,BAL,PHI
0,1.0,Eagles,Tom Sullivan 28 yard rush (Tom Dempsey kick),0,7
1,1.0,Eagles,Tom Dempsey 20 yard field goal,0,10
2,1.0,Colts,Toni Linhart 45 yard field goal,3,10
3,2.0,Eagles,Tom Dempsey 38 yard field goal,3,13
4,3.0,Eagles,Joe Lavender 37 yard interception return (Tom Dempsey kick),3,20
5,3.0,Eagles,Tom Sullivan 3 yard rush (Tom Dempsey kick),3,27
6,4.0,Colts,Glenn Doughty 22 yard pass from Bert Jones (Toni Linhart kick),10,27
7,4.0,Eagles,Tom Dempsey 42 yard field goal,10,30
