,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,C.R. Roberts 46 yard rush (Tommy Davis kick),0,7
1,1.0,49ers,J.D. Smith 10 yard rush (Tommy Davis kick),0,14
2,2.0,Packers,Paul Hornung 13 yard rush (Paul Hornung kick),7,14
3,2.0,Packers,Gary Knafelc 22 yard pass from Bart Starr (Paul Hornung kick),14,14
4,3.0,Packers,"Safety, Tittle tackled by Forester in end zone",16,14
5,3.0,Packers,Paul Hornung 3 yard rush (Paul Hornung kick),23,14
6,3.0,Packers,Boyd Dowler 10 yard pass from Bart Starr (Paul Hornung kick),30,14
7,4.0,Packers,Paul Hornung 2 yard rush,36,14
