,Quarter,Tm,Detail,NYJ,PHI
0,1.0,Eagles,Ron Jaworski 1 yard rush (Nick Mike-Mayer kick),0,7
1,1.0,Eagles,Wilbert Montgomery 1 yard rush (Nick Mike-Mayer kick),0,14
2,1.0,Eagles,Nick Mike-Mayer 39 yard field goal,0,17
3,2.0,Eagles,Nick Mike-Mayer 41 yard field goal,0,20
4,4.0,Eagles,Wilbert Montgomery 27 yard rush (Nick Mike-Mayer kick),0,27
