,Quarter,Tm,Detail,SDG,RAM
0,1.0,Chargers,Anthony Miller 30 yard pass from John Friesz (John Carney kick),7,0
1,2.0,Rams,Jim Price 18 yard pass from Jim Everett (Tony Zendejas kick),7,7
2,2.0,Chargers,Nate Lewis 49 yard pass from John Friesz (John Carney kick),14,7
3,2.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),14,14
4,2.0,Rams,"Safety, Greene tackled Butts in end zone",14,16
5,3.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),14,23
6,3.0,Chargers,Rod Bernstine 1 yard rush (John Carney kick),21,23
7,4.0,Rams,Jim Price 12 yard pass from Jim Everett (Tony Zendejas kick),21,30
8,4.0,Chargers,John Carney 27 yard field goal,24,30
