,Quarter,Time,Tm,Detail,PIT,NWE
0,2.0,11:11,Patriots,Rob Gronkowski 16 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,4:01,Patriots,Rob Gronkowski 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2,2.0,0:03,Steelers,Josh Scobee 44 yard field goal,3,14
3,3.0,10:37,Patriots,Scott Chandler 1 yard pass from Tom Brady (Stephen Gostkowski kick),3,21
4,3.0,6:43,Steelers,Will Johnson 1 yard rush (Markus Wheaton pass from Ben Roethlisberger),11,21
5,4.0,11:39,Steelers,Josh Scobee 24 yard field goal,14,21
6,4.0,9:20,Patriots,Rob Gronkowski 1 yard pass from Tom Brady (Stephen Gostkowski kick),14,28
7,4.0,0:02,Steelers,Antonio Brown 11 yard pass from Ben Roethlisberger (Josh Scobee kick),21,28
