,Quarter,Tm,Detail,SDG,OAK
0,2.0,Chargers,Speedy Duncan 72 yard interception return (Dennis Partee kick),7,0
1,2.0,Raiders,Fred Biletnikoff 19 yard pass from Daryle Lamonica (George Blanda kick),7,7
2,2.0,Raiders,Dan Conners 25 yard defensive fumble return (George Blanda kick),7,14
3,3.0,Chargers,Dennis Partee 18 yard field goal,10,14
4,4.0,Chargers,Dennis Partee 31 yard field goal,13,14
5,4.0,Chargers,Dennis Partee 14 yard field goal,16,14
6,4.0,Raiders,Warren Wells 80 yard pass from Daryle Lamonica (George Blanda kick),16,21
