,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Lynn Swann 5 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,1.0,Browns,Dave Logan 22 yard pass from Brian Sipe (Don Cockroft kick),7,7
2,2.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),7,14
3,2.0,Steelers,Frank Lewis 65 yard pass from Terry Bradshaw (Roy Gerela kick),14,14
4,3.0,Steelers,Lynn Swann 14 yard pass from Terry Bradshaw (Roy Gerela kick),21,14
5,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),28,14
