,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Bert Jones 9 yard rush (Toni Linhart kick),7,0
1,2.0,Colts,Cotton Speyrer 15 yard pass from Bert Jones (Toni Linhart kick),14,0
2,2.0,Jets,Burgess Owens special teams fumble recovery in end zone (Bobby Howfield kick),14,7
3,2.0,Colts,Joe Orduna 2 yard rush (Toni Linhart kick),21,7
4,4.0,Colts,Lydell Mitchell 1 yard rush (Toni Linhart kick),28,7
5,4.0,Jets,David Knight 13 yard pass from Joe Namath (Bobby Howfield kick),28,14
6,4.0,Colts,Bert Jones 32 yard rush (Toni Linhart kick),35,14
7,4.0,Jets,Jerome Barkum 7 yard pass from Joe Namath,35,20
