,Quarter,Tm,Detail,CLE,WAS
0,2.0,Redskins,Don Bosseler 1 yard rush (Bob Khayat kick),0,7
1,2.0,Redskins,Bob Khayat 28 yard field goal,0,10
2,3.0,Redskins,Don Bosseler 1 yard rush (Bob Khayat kick),0,17
3,3.0,Browns,Ray Renfro 65 yard pass from Frank Ryan,6,17
4,3.0,Browns,Lou Groza 25 yard field goal,9,17
