,Quarter,Tm,Detail,NOR,DAL
0,2.0,Cowboys,Tony Dorsett 2 yard rush (Rafael Septien kick),0,7
1,2.0,Cowboys,Doug Cosbie 3 yard pass from Danny White (Rafael Septien kick),0,14
2,2.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),0,21
3,4.0,Saints,George Rogers 5 yard rush (Toni Fritsch kick),7,21
