,Quarter,Time,Tm,Detail,NYG,LAR
0,1.0,6:23,Rams,Gerald Everett 2 yard rush (Sam Sloman kick),0,7
1,2.0,14:55,Giants,Graham Gano 35 yard field goal,3,7
2,2.0,3:56,Rams,Sam Sloman 32 yard field goal,3,10
3,2.0,0:04,Giants,Graham Gano 37 yard field goal,6,10
4,4.0,14:15,Giants,Graham Gano 27 yard field goal,9,10
5,4.0,7:06,Rams,Cooper Kupp 55 yard pass from Jared Goff (Sam Sloman kick),9,17
