,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,,Raiders,Andrew Glover 1 yard pass from Jeff Hostetler (Cole Ford kick),0,7
1,1.0,,Raiders,Cole Ford 43 yard field goal,0,10
2,3.0,,Raiders,"Safety, Gannon called for intentional grounding in end zone",0,12
3,3.0,,Raiders,Derrick Fenner 23 yard pass from Jeff Hostetler (Cole Ford kick),0,19
4,3.0,,Raiders,Tim Brown 34 yard pass from Jeff Hostetler (Cole Ford kick),0,26
5,4.0,,Chiefs,Sean LaChapelle 12 yard pass from Rich Gannon (Pete Stoyanovich kick),7,26
