,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,,Bears,Jeff Jaeger 26 yard field goal,3,0
1,1.0,,Bears,Glyn Milburn 93 yard punt return (Jeff Jaeger kick),10,0
2,2.0,,Bears,"Safety, Thierry sacked Dilfer in end zone",12,0
3,2.0,0:02,Bears,Jeff Jaeger 52 yard field goal,15,0
4,3.0,0:02,Buccaneers,Reidel Anthony 13 yard pass from Trent Dilfer (pass failed),15,6
5,3.0,0:02,Buccaneers,Dave Moore 44 yard pass from Trent Dilfer (Michael Husted kick),15,13
6,4.0,0:02,Buccaneers,Warrick Dunn 43 yard rush (Brice Hunter pass from Trent Dilfer),15,21
7,4.0,0:02,Buccaneers,Mike Alstott 2 yard rush (pass failed),15,27
