,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,Donald Igwebuike 21 yard field goal,3,0
1,2.0,Lions,Eddie Murray 22 yard field goal,3,3
2,2.0,Buccaneers,Donald Igwebuike 32 yard field goal,6,3
3,2.0,Lions,Mark Nichols 4 yard pass from Eric Hipple (Eddie Murray kick),6,10
4,3.0,Buccaneers,Donald Igwebuike 20 yard field goal,9,10
5,3.0,Lions,Eddie Murray 33 yard field goal,9,13
6,3.0,Lions,Eddie Murray 39 yard field goal,9,16
7,4.0,Lions,Mark Nichols 9 yard pass from Eric Hipple (Eddie Murray kick),9,23
8,4.0,Lions,Eric Hipple 1 yard rush (Eddie Murray kick),9,30
