,Quarter,Tm,Detail,OAK,MIA
0,1.0,Dolphins,Garo Yepremian 35 yard field goal,0,3
1,3.0,Dolphins,Garo Yepremian 27 yard field goal,0,6
2,3.0,Raiders,Fred Biletnikoff 16 yard pass from Ken Stabler,6,6
3,4.0,Dolphins,Norm Bulaich 5 yard rush (Garo Yepremian kick),6,13
4,4.0,Dolphins,Garo Yepremian 34 yard field goal,6,16
5,4.0,Dolphins,Gerald Small 46 yard interception return (Garo Yepremian kick),6,23
