,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,,Broncos,Shannon Sharpe 10 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Chiefs,Steve Bono 1 yard rush (Lin Elliott kick),7,7
2,2.0,,Chiefs,Lake Dawson 14 yard pass from Steve Bono (Lin Elliott kick),14,7
3,3.0,,Chiefs,Marcus Allen 1 yard rush (Lin Elliott kick),21,7
