,Quarter,Tm,Detail,IND,CIN
0,1.0,Bengals,Jim Breech 25 yard field goal,0,3
1,2.0,Bengals,Derrick Fenner 12 yard rush (Jim Breech kick),0,10
2,2.0,Bengals,Derrick Fenner 35 yard rush (Jim Breech kick),0,17
3,3.0,Colts,Kerry Cash 7 yard pass from Jack Trudeau (Dean Biasucci kick),7,17
4,4.0,Colts,Bill Brooks 19 yard pass from Jack Trudeau (Dean Biasucci kick),14,17
5,4.0,Colts,Rodney Culver 36 yard rush (Dean Biasucci kick),21,17
