,Quarter,Time,Tm,Detail,STL,SEA
0,2.0,5:45,Seahawks,John Carlson 1 yard pass from Matt Hasselbeck (Olindo Mare kick),0,7
1,2.0,0:12,Seahawks,Nate Burleson 12 yard pass from Matt Hasselbeck (Olindo Mare kick),0,14
2,3.0,5:02,Seahawks,John Carlson 33 yard pass from Matt Hasselbeck (Olindo Mare kick),0,21
3,3.0,3:42,Seahawks,Julius Jones 62 yard rush (Olindo Mare kick),0,28
