,Quarter,Tm,Detail,PHI,SEA
0,1,Seahawks,John Kasay 39 yard field goal,0,3
1,1,Eagles,Roger Ruzek 42 yard field goal,3,3
2,2,Eagles,Randall Cunningham 4 yard rush (Roger Ruzek kick),10,3
3,2,Seahawks,John Williams 11 yard pass from Stan Gelbaugh (John Kasay kick),10,10
4,4,Seahawks,Dwayne Harper 52 yard defensive fumble return (John Kasay kick),10,17
5,4,Eagles,Herschel Walker 8 yard rush (Roger Ruzek kick),17,17
6,OT,Eagles,Roger Ruzek 44 yard field goal,20,17
