,Quarter,Tm,Detail,MIA,SDG
0,1.0,Chargers,John Carney 32 yard field goal,0,3
1,1.0,Dolphins,Pete Stoyanovich 31 yard field goal,3,3
2,1.0,Chargers,Natrone Means 1 yard rush (John Carney kick),3,10
3,2.0,Dolphins,Pete Stoyanovich 50 yard field goal,6,10
4,2.0,Chargers,Natrone Means 65 yard rush (John Carney kick),6,17
5,2.0,Dolphins,Keith Byars 1 yard rush (Pete Stoyanovich kick),13,17
6,2.0,Chargers,Anthony Miller 41 yard pass from Stan Humphries (John Carney kick),13,24
7,3.0,Chargers,Ronnie Harmon 21 yard pass from Stan Humphries (John Carney kick),13,31
8,3.0,Chargers,Anthony Miller 14 yard pass from Stan Humphries (John Carney kick),13,38
9,3.0,Dolphins,Keith Byars 13 yard pass from Scott Mitchell (Pete Stoyanovich kick),20,38
10,4.0,Chargers,Natrone Means 2 yard rush (John Carney kick),20,45
