,Quarter,Tm,Detail,PHI,GNB
0,1.0,Packers,Sterling Sharpe 2 yard pass from Brett Favre (Chris Jacke kick),0,7
1,2.0,Packers,Chris Jacke 23 yard field goal,0,10
2,2.0,Eagles,Mark Bavaro 2 yard pass from Randall Cunningham (Roger Ruzek kick),7,10
3,3.0,Packers,Jackie Harris 15 yard pass from Brett Favre (Chris Jacke kick),7,17
4,4.0,Eagles,Roger Ruzek 27 yard field goal,10,17
5,4.0,Eagles,Victor Bailey 40 yard pass from Randall Cunningham (Roger Ruzek kick),17,17
6,4.0,Eagles,Roger Ruzek 30 yard field goal,20,17
