,Quarter,Tm,Detail,DET,PIT
0,1.0,Steelers,Mike Clark 13 yard field goal,0,3
1,3.0,Steelers,John Hilton 32 yard pass from Ron Smith (Mike Clark kick),0,10
2,4.0,Lions,Wayne Walker 42 yard field goal,3,10
3,4.0,Steelers,Roy Jefferson 84 yard pass from Ron Smith (Mike Clark kick),3,17
