,Quarter,Tm,Detail,PIT,CRD
0,1.0,Cardinals,Johnny Olszewski 1 yard rush (Pat Summerall kick),0,7
1,3.0,Cardinals,Pat Summerall 12 yard field goal,0,10
2,3.0,Steelers,Jim Brandt 1 yard rush (Nick Bolkovac kick),7,10
3,4.0,Steelers,Elbie Nickel 6 yard pass from Bill Mackrides (Nick Bolkovac kick),14,10
4,4.0,Steelers,Bill Mackrides 2 yard rush (Nick Bolkovac kick),21,10
5,4.0,Cardinals,Don Paul 5 yard pass from Steve Romanik (Pat Summerall kick),21,17
