,Quarter,Tm,Detail,PHI,STL
0,2.0,Eagles,Harold Carmichael 1 yard pass from Roman Gabriel (Tom Dempsey kick),7,0
1,2.0,Cardinals,Jim Bakken 39 yard field goal,7,3
2,3.0,Cardinals,Donny Anderson 21 yard rush (Jim Bakken kick),7,10
3,3.0,Eagles,Tom Dempsey 32 yard field goal,10,10
4,3.0,Cardinals,Ahmad Rashad 9 yard pass from Jim Hart (Jim Bakken kick),10,17
5,4.0,Eagles,Tom Dempsey 23 yard field goal,13,17
6,4.0,Cardinals,Ahmad Rashad 65 yard pass from Jim Hart (Jim Bakken kick),13,24
7,4.0,Eagles,Harold Carmichael 27 yard pass from Roman Gabriel (Tom Dempsey kick),20,24
8,4.0,Eagles,Don Zimmerman 24 yard pass from Roman Gabriel (Tom Dempsey kick),27,24
